District,Latitude,Longitude
Andaman Islands,12.38257107,92.82291051
Nicobar Islands,7.83529075,93.51160124
Adilabad,19.28451395,78.81321233
Anantapur,14.31206556,77.46015845
Chittoor,13.33109263,78.92763899
Cuddapah,14.49028913,78.69613871
East Godavari,16.78271832,82.24320747
Guntur,15.88492577,80.58657614
Hyderabad,17.38971556,78.46668889
Karimnagar,18.51548319,79.43765429
Khammam,17.68392133,80.67008644
Krishna,16.14387275,81.14805061
Kurnool,15.43759715,77.90086837
Mahbubnagar,16.63954622,77.98933089
Medak,17.88930498,78.13778902
Nalgonda,17.11325052,79.16984454
Nellore,13.89434407,80.14702672
Nizamabad,18.42948585,78.07523491
Prakasam,15.489039,80.1166579
Rangareddi,17.24523587,78.05756828
Srikakulam,18.570901,84.25874814
Vishakhapatnam,17.64683903,83.01014036
Vizianagaram,18.28329696,83.45982854
Warangal,18.01752609,79.87422029
West Godavari,16.63297944,81.45912991
Changlang,27.36048479,96.37552645
East Kameng,27.37119406,93.04741486
East Siang,28.15382353,95.06499226
Kurung Kumey,28.04853352,93.24531994
Lohit,27.94678527,96.59670771
Lower Dibang Valley,28.3265173,95.76567336
Lower Subansiri,27.70849297,93.96226108
Papum Pare,27.27352972,93.54468184
Tawang,27.68068396,91.82504245
Tirap,26.9440623,95.41470328
Upper Dibang Valley,29.01994784,95.98776394
Upper Siang,28.83092449,95.00155765
Upper Subansiri,28.27719657,93.89914356
West Kameng,27.46486582,92.6501575
West Siang,28.10629692,94.53510344
Barpeta,26.42787226,90.9791201
Bongaigaon,26.45012522,90.67342962
Cachar,24.81557067,92.8684965
Darrang,26.58463216,92.04141338
Dhemaji,27.58653344,94.71336909
Dhuburi,26.04506148,89.98500822
Dibrugarh,27.30612284,95.09982823
Goalpara,26.01727778,90.59869892
Golaghat,26.37721971,93.82583398
Hailakandi,24.45749609,92.59154665
Jorhat,26.76244824,94.30197723
Kamrup,26.17093945,91.58863274
Karbi Anglong,26.08966455,93.1153657
Karimganj,24.69660712,92.36794986
Kokrajhar,26.49724664,90.13997471
Lakhimpur,27.14128806,94.07759493
Marigaon,26.24650047,92.21949953
Nagaon,26.26462171,92.93061911
Nalbari,26.46323768,91.40598521
North Cachar Hills,25.33829985,92.97740206
Sibsagar,27.0276287,94.90025848
Sonitpur,26.73514927,92.85197805
Tinsukia,27.53549291,95.69055949
Araria,26.21152812,87.30766555
Aurangabad,24.77429187,84.45986024
Banka,24.83235564,86.86649163
Begusarai,25.54302613,86.12560144
Bhabua,25.02156643,83.61128105
Bhagalpur,25.27719289,87.04213814
Bhojpur,25.50666439,84.49407803
Buxar,25.48593019,84.08808082
Darbhanga,26.14618772,85.97387352
Gaya,24.72665415,84.94291218
Gopalganj,26.44874364,84.34636127
Jamui,24.7841838,86.26316298
Jehanabad,25.15567905,84.92081245
Katihar,25.56565356,87.70466084
Khagaria,25.53558891,86.56593256
Kishanganj,26.32433676,87.95045007
Lakhisarai,25.18344932,86.12825701
Madhepura,25.77341929,86.8978444
Madhubani,26.41380538,86.1632836
Munger,25.19853796,86.54173673
Muzaffarpur,26.18664417,85.32745092
Nalanda,25.22934551,85.48053114
Nawada,24.82570884,85.61594569
Pashchim Champaran,27.16064352,84.30265912
Patna,25.40297115,85.31984336
Purba Champaran,26.68129337,85.00382156
Purnia,25.81714802,87.40447607
Rohtas,24.99170461,83.93507627
Saharsa,25.8212707,86.5467082
Samastipur,25.79320556,85.94833323
Saran,25.89656078,84.82266287
Sheikhpura,25.12472437,85.77839391
Sheohar,26.45838075,85.29539412
Sitamarhi,26.5657007,85.61172491
Siwan,26.1736372,84.33766553
Supaul,26.28157894,86.78496465
Vaishali,25.81347032,85.39247597
Chandigarh,30.7426,76.75872466
Bastar,19.39386675,81.52895127
Bilaspur,22.35694298,81.99770351
Dantewada,18.65385409,81.0720012
Dhamtari,20.55491263,81.75691955
Durg,21.19446385,81.3318164
Janjgir-Champa,21.96109375,82.80495409
Jashpur,22.77286168,83.87039621
Kanker,20.13946129,81.06913081
Kawardha,22.04800079,81.16271188
Korba,22.4917125,82.57604327
Koriya,23.50412777,82.12515636
Mahasamund,21.22372704,82.65925427
Raigarh,22.00826507,83.27797699
Raipur,20.88603154,82.2003276
Raj Nandgaon,21.05841473,80.78526694
Surguja,23.32719279,83.23582494
Dadra and Nagar Haveli,20.21513217,73.09454961
Daman,20.43161667,72.83923661
Junagadh,20.72568199,70.8398564
Delhi,28.6459443,77.12804518
North Goa,15.54872342,73.80667998
South Goa,15.19527866,73.9417926
Ahmadabad,22.60542556,72.23898136
Amreli,21.04832649,71.43457638
Anand,22.28271821,72.57782052
Banas Kantha,24.25853897,71.93205253
Bharuch,21.75787276,72.67326347
Bhavnagar,21.7021939,72.16272633
Dahod,22.89799225,73.99170613
Gandhinagar,23.19367979,72.6722168
Jamnagar,22.41060041,69.62062006
Junagadh,20.92952301,70.5473389
Kachchh,23.48057203,68.82192301
Kheda,22.88765313,73.01880352
Mahesana,23.52935545,72.45545194
Narmada,21.70666386,73.68403209
Navsari,20.86697332,72.8618487
Panch Mahals,22.80435607,73.61984598
Patan,23.80634198,71.75162977
Porbandar,21.55092352,69.71896988
Rajkot,22.40603378,70.83679439
Sabar Kantha,23.71803595,73.1363879
Surat,21.25761373,72.93488716
Surendranagar,22.82672007,71.48358741
The Dangs,20.80163388,73.68835184
Vadodara,22.26133739,73.4943301
Valsad,20.44238232,72.91485848
Ambala,30.35036723,76.94970311
Bhiwani,28.72886806,76.02110226
Faridabad,28.1487311,77.32718537
Fatehabad,29.57298319,75.54608717
Gurgaon,28.04389479,77.0193513
Hisar,29.23628731,75.84324683
Jhajjar,28.59651868,76.61137143
Jind,29.45149822,76.29598576
Kaithal,29.96068539,76.3769893
Karnal,29.70320065,76.87488026
Kurukshetra,30.0565266,76.7877468
Mahendragarh,28.13521615,76.14018073
Panchkula,30.70089714,76.97173238
Panipat,29.34352134,76.92895915
Rewari,28.19164715,76.55956008
Rohtak,28.89251765,76.53123235
Sirsa,29.63583446,74.9097048
Sonepat,29.05805708,76.8558708
Yamuna Nagar,30.26466183,77.31652822
Bilaspur,31.37804229,76.65316079
Chamba,32.66741815,76.39354063
Hamirpur,31.67668481,76.49767089
Kangra,32.14093603,76.41205911
Kinnaur,31.60667184,78.51613736
Kullu,31.90911922,77.40922649
Lahul and Spiti,32.51717031,77.62470977
Mandi,31.63580594,76.96556931
Shimla,31.15572545,77.62573042
Sirmaur,30.68276445,77.4318469
Solan,31.03864312,76.94442141
Una,31.58330388,76.18353932
Anantnag (Kashmir South),33.76027273,75.30390606
Bagdam,33.93258113,74.79798113
Baramula (Kashmir North),34.38125376,74.76359942
Doda,33.35961468,76.0716372
Jammu,32.7131991,74.84775204
Kargil,33.56599489,76.63675315
Kathua,32.51781678,75.58901399
Kupwara (Muzaffarabad),34.59923474,74.21587684
Ladakh (Leh),33.5857922,78.30725928
Pulwama,33.88414419,75.0092186
Punch,33.79124129,74.29593161
Rajauri,33.27232199,74.40776879
Srinagar,34.27312899,75.11021159
Udhampur,33.04770671,75.15286951
Bokaro,23.6814965,85.98398374
Chatra,24.11619946,84.93295805
Deoghar,24.33070101,86.75697632
Dhanbad,23.85450909,86.40372925
Dumka,24.27500613,87.2766245
Garhwa,24.08211469,83.68664266
Giridih,24.3057851,86.08710916
Godda,24.8189,87.29417355
Gumla,23.07853295,84.55056787
Hazaribag,23.94324197,85.49441312
Jamtara,23.97873318,86.9532508
Koderma,24.55671943,85.71690919
Latehar,23.72511186,84.48298743
Lohardaga,23.48879604,84.66051691
Pakur,24.57260428,87.69691969
Palamu,24.19692597,84.20310843
Pashchim Singhbhum,22.39940849,85.5409841
Purba Singhbhum,22.59133436,86.50910135
Ranchi,23.18423506,85.31781937
Sahibganj,24.9366799,87.68264098
Saraikela Kharsawan,22.85591392,85.89614919
Simdega,22.60876039,84.59193692
Bagalkot,16.15860676,75.64526071
Bangalore Rural,12.93682709,77.47369315
Bangalore Urban,12.90192493,77.58685596
Belgaum,16.16107219,74.72329042
Bellary,15.07437755,76.47228471
Bidar,17.95036173,77.19459962
Bijapur,16.84015317,75.95909167
Chamrajnagar,11.95248,77.0238496
Chikmagalur,13.42528829,75.67626502
Chitradurga,14.2910222,76.57821957
Dakshin Kannad,12.89120455,74.96216278
Davanagere,14.33041459,75.91723841
Dharwad,15.34383138,75.13831264
Gadag,15.50712826,75.64861303
Gulbarga,17.07045952,76.8750385
Hassan,12.94509875,76.1104955
Haveri,14.73758281,75.39612306
Kodagu,12.39684468,75.79336596
Kolar,13.31279988,78.01376948
Koppal,15.65125327,76.16170486
Mandya,12.57490181,76.81570099
Mysore,12.24810026,76.52881803
Raichur,16.05079535,76.87368606
Shimoga,14.06384589,75.17882078
Tumkur,13.59246776,77.02297966
Udupi,13.45040423,74.7200999
Uttar Kannand,14.53895798,74.35229081
Alappuzha,9.542602966,76.38010796
Ernakulam,10.0048793,76.26957729
Idukki,9.804809639,77.04586642
Kannur,11.94152308,75.35209892
Kasaragod,12.3331031,75.07768497
Kollam,8.929388821,76.63607759
Kottayam,9.643701174,76.46059673
Kozhikode,11.39292427,75.7115872
Malappuram,10.97329876,75.93910776
Palakkad,10.7849269,76.49980491
Pattanamtitta,9.291312393,76.86412329
Thiruvananthapuram,8.537101759,76.88711503
Thrissur,10.45893265,76.12321941
Wayanad,11.71527746,76.07587007
Kavaratti,10.43639053,72.82992744
Anuppur,23.1818422,81.8656
Ashoknagar,24.63098846,77.82974494
Balaghat,21.80020721,80.42170053
Barwani,21.70213571,74.9100472
Betul,21.96462632,77.78734282
Bhind,26.35951126,78.76183243
Bhopal,23.48072614,77.39246623
Burhanpur,21.36456725,76.24460479
Chhatarpur,24.81363738,79.56449299
Chhindwara,22.22796697,78.76413136
Damoh,23.76624408,79.47049303
Datia,25.9022644,78.63916571
Dewas,22.785111,76.46088806
Dhar,22.57268172,75.11056207
Dindori,22.83738437,81.04332967
East Nimar,22.0989856,76.55805504
Guna,24.49043927,77.2235896
Gwalior,26.04074442,78.12782433
Harda,22.22765978,77.07022572
Hoshangabad,22.5952688,78.02168095
Indore,22.68026575,75.91338013
Jabalpur,23.18525572,79.98328755
Jhabua,22.41957802,74.40921617
Katni,23.72441623,80.33819666
Mandla,22.70348712,80.38600544
Mandsaur,24.19278764,75.43588668
Morena,26.37313505,77.88447341
Narsinghpur,22.95134468,79.00202423
Neemuch,24.70311893,75.06608187
Panna,24.45132584,80.21133001
Raisen,23.29251821,78.16305496
Rajgarh,23.78549903,76.66431224
Ratlam,23.50356229,75.14895782
Rewa,24.86118463,81.57572465
Sagar,23.80031871,78.71940358
Satna,24.62777622,80.75547049
Sehore,22.92971997,77.06780203
Seoni,22.33230488,79.66053864
Shahdol,23.44859865,81.45968318
Shajapur,23.56662032,76.33555181
Sheopur,25.78014811,77.16911117
Shivpuri,25.37802452,77.74861601
Sidhi,24.1754719,82.10537834
Tikamgarh,25.14099852,78.89357065
Ujjain,23.31928886,75.80383718
Umaria,23.59601063,80.90879477
Vidisha,23.82838308,77.90135076
West Nimar,22.02714,75.87343742
Ahmednagar,19.21759903,74.69220261
Akola,20.74631048,77.1212232
Amravati,21.16520992,77.67583503
Aurangabad,20.09792288,75.32072197
Bhandara,21.21179265,80.109502
Bid,18.95235334,75.69319706
Buldana,20.56680611,76.3901788
Chandrapur,20.09560909,79.3155638
Dhule,21.27401869,74.58719072
Garhchiroli,19.7955461,80.30965564
Gondiya,21.22500841,80.17522699
Greater Bombay,19.08506979,72.84261961
Hingoli,19.59525302,77.09239413
Jalgaon,20.88289434,75.55140422
Jalna,19.98461253,75.98473607
Kolhapur,16.44881302,74.12897151
Latur,18.34868727,76.75812608
Nagpur,21.19655686,79.02166176
Nanded,19.20931698,77.6829049
Nandurbar,21.52317563,74.32638757
Nashik,20.26691287,74.03824168
Osmanabad,18.19459456,75.99495575
Parbhani,19.31032425,76.70163339
Pune,18.51696171,74.12922882
Raigarh,18.45325764,73.00906094
Ratnagiri,17.21019507,73.25725894
Sangli,17.15493018,74.70713823
Satara,17.6737909,74.18052064
Sindhudurg,16.17094805,73.51329008
Solapur,17.83735794,75.42394824
Thane,19.69876775,72.79882743
Wardha,20.80743024,78.57259106
Washim,20.28228239,77.25502394
Yavatmal,20.04258347,78.05326372
Bishnupur,24.50712112,93.8246236
Chandel,24.2635813,94.09443844
Churachandpur,24.30309719,93.38671506
East Imphal,24.82105807,93.66951205
Senapati,25.08465586,94.03366234
Tamenglong,24.98312942,93.4945074
Thoubal,24.54539255,93.97959894
Ukhrul,25.05900315,94.44129567
West Imphal,24.79400559,93.8885905
East Garo Hills,25.82728228,90.64684925
East Khasi Hills,25.30376389,91.7592252
Jaintia Hills,25.33959557,92.3760816
Ri-Bhoi,25.897066,91.84516159
South Garo Hills,25.24056858,90.64560349
West Garo Hills,25.49528519,90.03709947
West Khasi Hills,25.50088993,91.25364542
Aizawl,23.90781335,92.85359459
Champhai,23.54166581,93.24221799
Kolasib,24.20200043,92.73470391
Lawngtlai,22.36102843,92.66964157
Lunglei,23.00771704,92.63512555
Mamit,23.73852943,92.43308038
Saiha,22.35744801,93.02827931
Serchhip,23.26386471,92.9141585
Dimapur,25.81417681,93.75074058
Kohima,25.60311429,93.78600658
Mokokchung,26.47891176,94.52242601
Mon,26.69207374,95.03072989
Phek,25.63272987,94.56814564
Tuensang,26.21104453,94.85809881
Wokha,26.20261155,94.19908152
Zunheboto,26.02817821,94.50026667
Angul,21.1207062,84.99839213
Baleshwar,21.48570932,87.08085828
Baragarh,21.13240638,83.264445
Bhadrak,20.95262735,86.81496205
Bolangir,20.6163003,83.2152006
Boudh,20.58319074,84.12363307
Cuttack,20.40764065,85.77768102
Deogarh,21.43146202,84.81452481
Dhenkanal,20.79887159,85.53226836
Gajapati,19.12108088,84.14015092
Ganjam,19.26326176,84.8029771
Jagatsinghpur,20.11444318,86.43265259
Jajpur,20.85324909,86.15277301
Jharsuguda,21.82705857,83.93581682
Kalahandi,19.78425309,83.11240438
Kandhamal,20.09287862,84.02216353
Kendrapara,20.60631982,86.83763248
Keonjhar,21.4922574,85.76276987
Khordha,20.05416232,85.52234834
Koraput,18.82627795,82.8127847
Malkangiri,18.2522793,81.98293636
Mayurbhanj,21.89762155,86.40304081
Nabarangpur,19.51304717,82.4204196
Nayagarh,20.19289562,85.056147
Nuapada,20.47130951,82.59152537
Puri,19.83509175,85.8669899
Rayagada,19.29284002,83.4586012
Sambalpur,21.51575238,84.34958483
Sonepur,20.89080329,83.76852635
Sundargarh,22.06354819,84.50524819
Karaikal,10.87616173,79.82369794
Mahe,12.00642079,75.28275022
Puducherry,11.88780627,79.79710961
Yanam,16.70769565,82.26187304
Amritsar,31.54867982,74.79883857
Bathinda,30.19052461,75.05685898
Faridkot,30.59118725,74.79751554
Fatehgarh Sahib,30.64290947,76.36208395
Firozpur,30.63407535,74.40245732
Gurdaspur,32.04283371,75.32040644
Hoshiarpur,31.5515717,75.84698574
Jalandhar,31.25033691,75.54400351
Kapurthala,31.33659264,75.47641166
Ludhiana,30.76596397,75.83110852
Mansa,29.91954771,75.43049229
Moga,30.75654007,75.16008451
Muktsar,30.31243303,74.55187477
Nawan Shehar,31.13344545,76.10192436
Patiala,30.21454038,76.27505894
Rupnagar,30.91093733,76.53743501
Sangrur,30.1850452,75.89437014
Ajmer,26.19930038,74.69904192
Alwar,27.55271738,76.65359631
Banswara,23.45364203,74.44246868
Baran,24.98023243,76.86210652
Barmer,25.77070908,71.50297126
Bharatpur,27.32411858,77.21752077
Bhilwara,25.45119768,74.63947596
Bikaner,28.12489068,73.26943323
Bundi,25.48580716,75.79984074
Chittaurgarh,24.63162376,74.80010998
Churu,28.29330376,74.65846427
Dausa,26.91234818,76.57342097
Dhaulpur,26.72397055,77.7447622
Dungarpur,23.75104808,73.84765641
Ganganagar,29.25678541,73.56192303
Hanumangarh,29.18133518,74.74632573
Jaipur,27.03345929,75.77117286
Jaisalmer,26.86900839,71.18371877
Jalor,25.07578094,72.18647262
Jhalawar,24.24725541,76.11242892
Jhunjhunun,28.13517401,75.52840894
Jodhpur,26.67846084,73.00450847
Karauli,26.51901556,76.96081818
Kota,25.17571808,76.18618928
Nagaur,27.07862016,74.14215667
Pali,25.80490394,73.55285641
Rajsamand,25.24894767,73.96570216
Sawai Madhopur,26.25108118,76.42192839
Sikar,27.64644059,75.29317423
Sirohi,24.79769053,72.75309132
Tonk,26.15393507,75.79192216
Udaipur,24.44076752,73.8402984
East,27.29600353,88.74908392
North Sikkim,27.81381005,88.54200565
South Sikkim,27.27802162,88.37538595
West Sikkim,27.3359816,88.158012
Ariyalur,11.19051484,79.22249644
Chennai,13.05809891,80.28139152
Coimbatore,10.871377,77.07619012
Cuddalore,11.57587301,79.63002365
Dharmapuri,12.3001412,78.11509813
Dindigul,10.37780139,77.7801128
Erode,11.26701216,77.42034335
Kancheepuram,12.49642476,80.0882036
Kanniyakumari,8.1834663,77.32053064
Karur,10.79532777,78.08749687
Madurai,9.904313833,78.01366033
Nagapattinam,10.78946816,79.79437299
Namakkal,11.33766638,78.14624841
Nilgiris,11.44236166,76.66146422
Perambalur,11.26013776,78.86034012
Pudukkottai,10.13051482,79.05444484
Ramanathapuram,9.312869952,78.99185362
Salem,11.6293242,78.2478258
Sivaganga,9.960306581,78.56535729
Thanjavur,10.38769226,79.31948691
Theni,9.924066667,77.43458833
Thiruvallur,13.2758581,80.19724703
Thiruvarur,10.36892741,79.60322894
Thoothukudi,8.72096117,78.13832691
Tiruchchirappalli,10.83784132,78.54729002
Tirunelveli Kattabo,8.457430704,77.70549636
Tiruvannamalai,12.41931895,79.23265632
Vellore,12.78488263,79.02643284
Villupuram,12.06557135,79.68989101
Virudhunagar,9.468872196,77.87641469
Dhalai,23.78136048,91.94654283
North Tripura,24.12173976,92.17842538
South Tripura,23.2118741,91.60658076
West Tripura,23.78016624,91.41310789
Agra,26.99512975,78.05278292
Aligarh,27.93748577,78.00146831
Allahabad,25.39203866,82.05172447
Ambedkar Nagar,26.39119026,82.68282143
Auraiya,26.66892394,79.42637057
Azamgarh,26.00829095,83.01220251
Badaun,28.08595673,78.997108
Baghpat,29.0457935,77.302663
Bahraich,27.6917763,81.46779783
Ballia,25.86075638,84.03651979
Balrampur,27.44907654,82.47158326
Banda,25.3518859,80.52487391
Bara Banki,26.92277703,81.35762351
Bareilly,28.51101941,79.43187072
Basti,26.83388045,82.69790591
Bijnor,29.31397426,78.45098815
Bulandshahr,28.34875862,78.01082759
Chandauli,25.11808596,83.25307063
Chitrakoot,25.15992462,81.07666088
Deoria,26.42218857,83.82440707
Etah,27.59115531,78.70021858
Etawah,26.7881767,79.07621806
Faizabad,26.60589185,82.00783531
Farrukhabad,27.45063298,79.44062846
Fatehpur,25.8374362,80.85416203
Firozabad,27.20963993,78.42660625
Gautam Buddha Nagar,28.39331104,77.52462468
Ghaziabad,28.74997309,77.67441879
Ghazipur,25.62472478,83.53608546
Gonda,27.15721555,82.0226888
Gorakhpur,26.63315887,83.35495604
Hamirpur,25.73815838,79.8261948
Hardoi,27.33740909,80.26411768
Hathras,27.57814661,78.18251084
Jalaun,26.06795459,79.36686911
Jaunpur,25.70141281,82.54315352
Jhansi,25.45581535,78.89954581
Jyotiba Phule Nagar,28.87049898,78.39009365
Kannauj,26.99398862,79.6443794
Kanpur Dehat,26.43047641,79.98710083
Kanpur,26.37046935,80.29251573
Kaushambi,25.53587532,81.41811282
Kushinagar,26.89253068,83.92261542
Lakhimpur Kheri,28.09185401,80.64732466
Lalitpur,24.58877161,78.60082331
Lucknow,26.83823359,80.89706027
Maharajganj,27.17709911,83.46127857
Mahoba,25.3452967,79.67863003
Mainpuri,27.17386862,79.03501851
Mathura,27.59390433,77.62153417
Mau,26.01082204,83.50582654
Meerut,29.02957626,77.80611006
Mirzapur,25.10207959,82.60126629
Moradabad,28.85177041,78.73580193
Muzaffarnagar,29.47050798,77.64017848
Pilibhit,28.52024175,79.90103974
Pratapgarh,25.86484273,81.93530049
Rae Bareli,26.25390284,81.22260463
Rampur,28.83244727,79.10977333
Saharanpur,30.03381165,77.59905148
Sant Kabir Nagar,26.79159652,83.03877643
Sant Ravi Das Nagar,25.36457874,82.43494991
Shahjahanpur,27.99138935,79.83022753
Shravasti,27.60491788,81.79319777
Siddharth Nagar,27.20738484,82.78664992
Sitapur,27.50199596,80.85288881
Sonbhadra,24.46693269,83.06816325
Sultanpur,26.28463864,82.05710457
Unnao,26.63163991,80.63677329
Varanasi,25.36057089,82.82529667
Almora,29.68353213,79.50165064
Bageshwar,29.98703393,79.83954354
Chamoli,30.58338611,79.56281096
Champawat,29.29142394,80.07720212
Dehra Dun,30.53333341,77.90884125
Haridwar,29.88605766,77.92980068
Naini Tal,29.33637053,79.49979118
Pauri Garhwal,29.97806755,78.77450163
Pithoragarh,30.14720632,80.34229231
Rudra Prayag,30.55657756,79.09422047
Tehri Garhwal,30.46370092,78.48783793
Udham Singh Nagar,29.02779578,79.45629005
Uttarkashi,30.96895855,78.56880615
Bankura,23.08128089,87.12640054
Barddhaman,23.44445389,87.81505811
Birbhum,24.06389343,87.65153089
Dakshin Dinajpur,25.34209436,88.6982168
Darjiling,26.83961957,88.33145067
East Midnapore,21.99199725,87.92280826
Haora,22.40167417,87.99421177
Hugli,22.87929265,88.00010265
Jalpaiguri,26.62642031,89.04154375
Kochbihar,26.25051611,89.30613827
Kolkata,22.55058148,88.35276481
Maldah,25.08026803,88.17191685
Murshidabad,24.25950655,88.1681686
Nadia,23.56410971,88.58293035
North 24 Parganas,22.06238845,88.87793961
Puruliya,23.25419233,86.39685329
South 24 Parganas,21.85442751,88.44536971
Uttar Dinajpur,26.04461917,88.23595232
West Midnapore,22.35489692,87.23101441
